indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,11.89,1.82,6.47,0.55,0,205,33.8,69.3,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,61,59.1,1.56,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Basmati Rice (Aged),Grains & Flours,A005,11.86,0.67,6.48,0.56,0,481,24,64.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,99,202.4,5.71,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.63,34.46,5.93,0.22,0,176,41.7,70.2,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,53,1.9,0.56,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Puncture Resistant against Sharp Fried Gram Strands,Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.32,12.76,5.82,0.46,0,260,29,74.4,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,87,1.5,0.6,Hermetic Band Heat Seal,Puncture & Capsaicin Permeation Proof,No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Desi Cow Ghee,Dairy Fats,Dairy Fat,0.19,99.5,6.4,0.25,0,317,35.3,73.2,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,Rigid: 300µm Biosynthesized Nodax™ PHA with UV-Absorbing Curcumin Additives,337,0.9,1.16,Induction Heat Seal Wad (FSC Paper / Bio-PBS) + Screw Cap,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),"Cl. 5(1) & Schedule I (Ghee, Butter Oil & Edible Oils)","IS/ISO 17088, IS 9845, IS 15392",Simulant D (Iso-octane / Olive Oil); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / Bio-Flex® Resin,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.16,1.68,6.55,0.55,0,184,24.9,57.3,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,66,49.6,2.5,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.66,1.62,6.24,0.58,0,168,31.1,59.2,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,94,220.2,5.79,Heat Sealable Bottom / Pinch Top Bio-Adhesive,High Drop Impact (>1.5m drop test for 5kg/10kg bags),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.09,12.67,5.76,0.46,0,310,29.6,71.5,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,86,1.2,0.82,Hermetic Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.67,2.05,6.54,0.55,0,150,30.8,51.7,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,59,42.3,2.98,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,D001,82.29,0.37,4.16,0.98,29.6,17,12.4,86.9,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled / Ambient Controlled,Molded Sugarcane Bagasse Punnet with Laser Micro-perforated NatureFlex™ Lidding,Base: 400gsm Heavy-duty Sugarcane Bagasse / Lid: 25µm Micro-perforated Cellulosic Film,35,5708.9,25.08,Ventilated Lid Heat Seal / Bio-Elastomer Band,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3-5% O2, 5-8% CO2, balance N2 (delays climacteric ethylene peak)",Cl. 3(4) & Prohibition of Calcium Carbide / Ethylene chemical contamination,"IS/ISO 17088, IS 2771, IS 9845",Agro-residue pulp; Zero PFAS fluorochemicals; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka (Chuk!) Bagasse Trays + NatureFlex™ NK,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
Freshwater Fish (Rohu Steaks),Fish & Seafood,J001,76.73,2.61,6.5,0.99,0,12,1.9,92.6,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled (On Crushed Ice),Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,Base: 500gsm Hydrophobic Wax-coated Bagasse / Top: 30µm PVOH-coated NatureFlex Film,87,2.1,2.19,Hermetic Tray Lidding Seal (Leak-Proof for Fish Exudate),Puncture Proof against Sharp Fin Rays & Scales,Yes,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",Schedule I (Fish & Fishery Products) & Cl. 3(2),"IS/ISO 17088, IS 9845 (OML <60 mg/kg)",Simulant A & C; Zero styrene / formaldehyde leaching,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka Chuk! Water-resistant Trays + NatureFlex™ NKME,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.66,5.52,6.32,0.54,0,157,35.8,62.9,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,105,228,4.87,Heat Sealed Bottom / Ultrasonic Pinch Top,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),Milk Solid Sweet,38.47,11.44,5.8,0.85,0,201,25.9,69.4,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),Retort Grade: 19µm AlOx-PLA / 15µm Bio-PBS / 60µm High-Temp Cast PLA Sealant,118,0.8,0.55,Hermetic Impulse Heat Seal (Liquid Tight),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Hot Fill De-aeration / Syrup Headspace Exclusion,Schedule I (Canned & Preserved Foods) & Tin Leaching Ban (<250 mg/kg),"IS/ISO 17088, IS 9845 (Simulant A)",Simulant A (Distilled water at 95°C hot fill); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Retortable Compostable / BioPBS™ High Thermal Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.92,12.43,6.13,0.25,0,147,30.6,46.2,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,69,29.1,0.96,Hermetic Vacuum Strip Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,10.09,1.58,6.45,0.52,0,279,34.5,57.5,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,57,127.7,5.37,Continuous Band Heat Seal (110-125°C),High Dart Impact & Puncture Resistance against sharp dal edges,No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.92,12.41,6.04,0.25,0,143,28.7,73.6,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,57,24.8,1.15,Hermetic Vacuum Strip Heat Seal,High Stiffness & Anti-Cracking,Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Basmati Rice (Aged),Grains & Flours,A005,11.98,0.61,6.49,0.56,0,449,35.1,72.6,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,97,93.5,4.1,Stitched Top / Heat Sealed Inner Liner,Heavy Duty Drop Resistance (>50 kg drop test),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.05,12.75,5.79,0.46,0,289,24.2,56.2,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,83,1,0.61,Hermetic Band Heat Seal,Puncture & Capsaicin Permeation Proof,No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.16,2.01,6.49,0.55,0,173,24,47.5,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,51,90,2.02,Continuous Band Heat Seal,Anti-Breakage Rigid Pouch,No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Fresh Okra (Bhindi),Fresh Horticultural Produce,E008,90.37,0.22,6.13,0.99,63.2,10,8.4,90.1,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,Monolayer: 25µm Blown PBAT/Cornstarch Matrix with 80µm micro-holes,32,8657.5,42.29,Heat Seal with Airflow Channels,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",Cl. 3(2) Fresh Produce Clean Contact Rules,"IS/ISO 17088, IS 9845",Non-toxic compostable matrix; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mater-Bi® VF04A (Novamont) / Bio-Flex®,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Besan Ladoo,Traditional Sweets (Mithai),Bengal Gram Sweet,5.21,24.2,6.21,0.42,0,83,22.5,55.2,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,Duplex: 50gsm FSC Greaseproof Kraft / 20µm Sealable NatureFlex Bio-film,55,58.6,2.22,Band Heat Seal,Crush & Oil Resistant,Yes,Nitrogen Flush (residual O2 < 1.0%),FSSAI Mandatory Mithai Display & Cl. 4(5),"IS 6615, IS/ISO 17088",Simulant D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NK,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Fresh Malai Paneer,Dairy Products,B005,54.67,24.32,5.92,0.98,0,21,2.6,89.1,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,High-Barrier Certified Compostable Vacuum Film (Cellulose/AlOx-PLA/Bio-PBS),Triplex: 25µm NatureFlex Cellulose / 15µm AlOx Bio-barrier / 40µm Bio-PBS Food-Contact Sealant,87,4.1,2.4,Hermetic Vacuum Chamber Heat Seal (95-115°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"40% CO2, 60% N2 (suppresses coliforms, yeasts & molds)",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845, IS 16620",Simulant B (3% Acetic Acid) & Simulant C (15% Alcohol); OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ FD92 (PTT MCC) / TIPA 302 Compostable Laminate,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,30.18,25.95,6.16,0.88,0,13,3.4,83.4,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,77,2.5,2.63,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Basmati Rice (Aged),Grains & Flours,A005,12.2,0.66,6.46,0.56,0,727,22.8,50.3,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,110,174.6,4.72,Stitched Top / Heat Sealed Inner Liner,Heavy Duty Drop Resistance (>50 kg drop test),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,Mango Mustard Oil Matrix,47.65,22.47,3.27,0.78,0,421,26.3,75.6,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High Acid & Oil Resistant Biodegradable Spouted Pouch (AlOx-PLA / Bio-PBS),Triplex: 15µm AlOx-PLA / 20µm Bio-PBS / 60µm Acid-Resistant Bio-copolymer Sealant,103,1.1,0.67,Ultrasonic Spout Weld + Hermetic Heat Seal,Corrosion & High Hydrostatic Oil Resistance,No,Mustard Oil Seal Layer Headspace Exclusion,"Cl. 4(3) No corrosion / metal leaching in high acid & salt products (pH <3.5, Salt >12%)","IS/ISO 17088, IS 9845 (Simulant B & D)",Simulant B (3% Acetic Acid) & Simulant D; Zero delamination,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Heavy-Duty Barrier Laminate / BioPBS™ Acid-Shield,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.53,5.3,6.28,0.54,0,131,22.9,51.4,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,94,234.4,5.25,Heat Sealed Bottom / Ultrasonic Pinch Top,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.72,34.26,5.89,0.22,0,114,26.5,78.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,69,1.6,0.69,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,Mustard Oil,0.11,99.8,6.48,0.2,0,349,33.7,54.2,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,Rigid: 320µm Dark Amber Biosynthesized Nodax™ PHA with UV Blockers,324,1.6,1.27,Induction Heat Seal Liner (Bio-PBS Wad) + Threaded Cap,High Hydrostatic Pressure & Burst Resistant (>200 kPa),Yes,Nitrogen Headspace Sparging (residual O2 < 0.5%),Cl. 5(1) & Schedule I (Edible Vegetable Oils & Fats),"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; Total Migration < 60 mg/kg; Zero erucic acid solvent interaction,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.64,1.72,6.53,0.55,0,159,24,48.6,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,66,77.1,2.93,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
